genres,keywords,original_language,overview,production_companies,runtime,title,cast,director
"Romance, Comedy, Drama",ambition bollywood business india struggling career,hi,"Rocket Singh - Salesman of the Year is the sometimes thoughtless, sometimes thoughtful story of a fresh graduate trying to find a balance between the maddening demands of the 'professional' way, and the way of his heart - and stumbling upon a crazy way which turned his world upside down, and his career right side up. Welcome to the world of sales boss!",Yash Raj Films,156,Rocket Singh: Salesman of the Year,"Ranbir Kapoor, Sumeet Darshan, Dobhal Gauhar, Khan Shazahn, Padamsee Prem, Chopra",Shimit Amin
"Adventure, Thriller, Action",london england england assassination spy casino,en,"In the film that launched the James Bond saga, Agent 007 battles mysterious Dr. No, a scientific genius bent on destroying the U.S. space program. As the countdown to disaster begins, Bond must go to Jamaica, where he encounters beautiful Honey Ryder, to confront a megalomaniacal villain in his massive island headquarters.","United Artists, Eon Productions",110,Dr. No,"Sean Connery, Ursula Andress, Joseph Wiseman, Jack Lord, Bernard Lee",Terence Young
"Thriller, Horror",radiation ukraine nuclear radiation tourist nuclear power plant,en,"A group of six tourists looking to go off the beaten path, hire an 'extreme tour guide'. Ignoring warnings, he takes them into the city of Pripyat, the former home to the workers of the Chernobyl nuclear reactor, but a deserted town since the disaster more than 25 years earlier. After a brief exploration of the abandoned city, the group members find themselves stranded, only to discover that they are not alone.","Alcon Entertainment, FilmNation Entertainment, Oren Peli / Brian Witten Pictures",88,Chernobyl Diaries,"Jesse McCartney, Jonathan Sadowski, Olivia Taylor, Dudley Ingrid, Bolsø Berdal, Alex Feldman",Bradley Parker
Drama,christian,en,"When a high school teacher is asked a question in class about Jesus, her reasoned response lands her in deep trouble and could expel God from the public square once and for all.",Pure Flix Productions,121,God's Not Dead 2,"Hayley Orrantia, Melissa Joan, Hart Jesse, Metcalfe David, A.R. White, Ray Wise",Harold Cronk
"Romance, Drama",dancing nurse depression classroom bridge,en,"Dean and Cindy live a quiet life in a modest neighborhood. They appear to have the world at their feet at the outset of the relationship. However, his lack of ambition and her retreat into self-absorption cause potentially irreversible cracks in their marriage.","Hunting Lane Films, Silverwood Films, Incentive Filmed Entertainment, Chrysler Corporation, Shade Pictures, Motel Movies, Cottage Industries",112,Blue Valentine,"Ryan Gosling, Michelle Williams, Mike Vogel, John Doman, Faith Wladyka",Derek Cianfrance
Drama,individual gay new york usa missionary,en,Bree is about to get a sex change operation that will finally allow her to actually be what she’s already been in her mind for a long time: a transitioned woman. Yet before this happens she suddenly runs into her son who ends up coming for the trip across the United States.,"IFC Films, The Weinstein Company",103,Transamerica,"Felicity Huffman, Kevin Zegers, Elizabeth Peña, Danny Burstein, Maurice Orozco",Duncan Tucker
"Thriller, Horror",rome exorcism death demonic possession found footage,en,"In Italy, a woman becomes involved in a series of unauthorized exorcisms during her mission to discover what happened to her mother, who allegedly murdered three people during her own exorcism.","Room 101, Prototype",83,The Devil Inside,"Fernanda Andrade, Simon Quarterman, Evan Helmuth, Ionut Grama, Suzan Crowley",William Brent Bell
"Thriller, Comedy, Drama",pop pop star musical,en,A hip and happenin' all girl rock group head to LA to claim lead-singer Kelly's inheritance and make it (and make it) in LA. Soon the girls fall into a morass of drugs and deceit as their recording success soars. It takes several tragedies to make them stop and think... but is it too late?,Twentieth Century Fox Film Corporation,109,Beyond the Valley of the Dolls,"Dolly Read, Cynthia Myers, Marcia McBroom, John Lazar, Michael Blodgett",Russ Meyer
Documentary,climate change greenhouse effect climate earth global warming,en,A documentary on Al Gore's campaign to make the issue of global warming a recognized problem worldwide.,"Lawrence Bender Productions, Paramount Classics, Participant Media",100,An Inconvenient Truth,"Al Gore, Billy West, Ronald Reagan, George W., Bush George, H. W., Bush",Davis Guggenheim
"Documentary, Music",new york film director legend song public,en,"Martin Scorsese and the Rolling Stones unite in ""Shine A Light,"" a look at The Rolling Stones."" Scorsese filmed the Stones over a two-day period at the intimate Beacon Theater in New York City in fall 2006. Cinematographers capture the raw energy of the legendary band.","Concert Promotion International, Shangri-La Entertainment",122,Shine a Light,"Mick Jagger, Keith Richards, Charlie Watts, Ronnie Wood, Christina Aguilera",Martin Scorsese
Documentary,food industry monsanto organic food sustainable griculture,en,"Documentary filmmaker Robert Kenner examines how mammoth corporations have taken over all aspects of the food chain in the United States, from the farms where our food is grown to the chain restaurants and supermarkets where it's sold. Narrated by author and activist Eric Schlosser, the film features interviews with average Americans about their dietary habits, commentary from food experts like Michael Pollan and unsettling footage shot inside large-scale animal processing plants.",Magnolia Pictures,94,"Food, Inc.","Michael Pollan, Eric Schlosser, Richard Lobb, Vince Edwards, Carole Morison",Robert Kenner
Drama,adoption college,en,OCTOBER BABY is the coming of age story of a beautiful and naive college freshman who discovers that her entire life is a lie and sets out on a road trip with a host of misfits to discover herself and the answers she craves.,,107,October Baby,"Rachel Hendrix, Jason Burkey, Robert Amaya, John Schneider",Andrew Erwin
"Thriller, Drama",sexual abuse cult boundary violations mumblegore,en,"After several years of living with a cult, Martha finally escapes and calls her estranged sister, Lucy, for help. Martha finds herself at the quiet Connecticut home Lucy shares with her new husband, Ted, but the memories of what she experienced in the cult make peace hard to find. As flashbacks continue to torment her, Martha fails to shake a terrible sense of dread, especially in regard to the cult's manipulative leader.","Cunningham & Maybach Films, FilmHaven Entertainment, BorderLine Films, This Is That Productions",101,Martha Marcy May Marlene,"Elizabeth Olsen, Hugh Dancy, John Hawkes, Sarah Paulson, Brady Corbet",Sean Durkin
Documentary,energy supply automobile industry independent film,en,"In 1996, electric cars began to appear on roads all over California. They were quiet and fast, produced no exhaust, and ran without gasoline... Ten years later, these cars were destroyed.","Electric Entertainment, Plinyminor, Papercut Films",92,Who Killed the Electric Car?,"Martin Sheen, Mel Gibson, Tom Hanks",Chris Paine
Comedy,pornography sex secret fight star,en,"Joe Young is a devout Mormon living in L.A. trying to raise enough money to go back to Utah and marry his girlfriend, Lisa. Joe is spreading the word about the church of Latter Day Saints one day when he's confronted by two burly bodyguards. A scuffle breaks out, and Joe's martial arts skills impress Maxxx Orbison, who directs pornographic movies.","Kuzui Enterprises, Avenging Conscience, Focus Features",94,Orgazmo,"Trey Parker, Dian Bachar, Matt Stone, Ron Jeremy, Michael Dean, Jacobs",Trey Parker
"Romance, Drama",southern usa small town virgin independent film best friend,en,"In a small North Carolina town, Paul, a womanizer, meets Noel, a confused intellectual returning home for the first time in years since she left for boarding school. The film depicts the typical romance of a good girl and a bad boy, in an interesting way.",Sony Pictures Classics,108,All the Real Girls,"Paul Schneider, Zooey Deschanel, Danny McBride, Maurice Compte, Heather McComb",David Gordon Green
"Fantasy, Romance, Comedy, Drama",independent film break-up ex-boyfriend ex-girlfriend relationship rolling a cigarette autocide,en,"Zia, distraught over breaking up with his girlfriend, decides to end it all. Unfortunately, he discovers that there is no real ending, only a run-down afterlife that is strikingly similar to his old one, just a bit worse. Discovering that his ex-girlfriend has also ""offed"" herself, he sets out on a road trip, with his Russian rocker friend, to find her. Their journey takes them through an absurd purgatory where they discover that being dead doesn't mean you have to stop livin'!",No Matter Pictures,88,Wristcutters: A Love Story,"Patrick Fugit, Shannyn Sossamon, Shea Whigham, Leslie Bibb, Will Arnett",Goran Dukic
Documentary,corruption war indonesia,id,"In a place where killers are celebrated as heroes, these filmmakers challenge unrepentant death-squad leaders to dramatize their role in genocide. The result is a surreal, cinematic journey, not only into the memories and imaginations of mass murderers, but also into a frighteningly banal regime of corruption and impunity.","Spring Films, Final Cut for Real, Piraya Film A/S, Novaya Zemlya",115,The Act of Killing,"Anwar Congo, Herman Koto, Syamsul Arifin, Ibrahim Sinik, Yapto Soerjosoemarno",Joshua Oppenheimer
Documentary,taxi afghanistan guantanamo bay torture chamber,en,"An in-depth look at the torture practices of the United States in Afghanistan, Iraq and Guantanamo Bay, focusing on an innocent taxi driver in Afghanistan who was tortured and killed in 2002",Jigsaw Productions,106,Taxi to the Dark Side,"Brian Keith, Allen Moazzam, Begg Christopher, Beiring Alex, Gibney",Alex Gibney
"Documentary, Adventure, Drama",biography antarctica,en,"Filling the giant screen with stunning time-lapse vistas of Antarctica, and detailing year-round life at McMurdo and Scott Base, Anthony Powell’s documentary is a potent hymn to the icy continent and the heavens above.",Antzworks,92,Antarctica: A Year on Ice,"Genevieve Bachman, William Brotman, Michael Christiansen, Tom Hamann, George Lampman",Anthony Powell
Documentary,pop culture fan culture documentary toys,en,A look at the global culture and appeal of the LEGO building-block toys.,"Global Emerging Markets (GEM), HeLo",93,A LEGO Brickumentary,"Jason Bateman, Matthias Klie",Kief Davidson
"Action, Drama",skateboarding forgiveness sport family relationships aftercreditsstinger,en,"Hardflip follows the story of Caleb (Randy Wayne) a young skater whose ill mother (Rosanna Arquette) and absent father (John Schneider) leave him reaching for the only hope he has...becoming a sponsored skater. After his mother falls ill, Caleb finds a stack of old love letters. He sets out to find the father he never knew and inadvertently begins a journey he never could have expected. This story explores what happens when we let go of our anger and pain and forgive those who have hurt us most.",,114,Hardflip,"Randy Wayne, John Schneider, Rosanna Arquette, Sean Michael, Afable Jason, Dundas",Johnny Remo
"Thriller, Comedy, Crime",swimming pool tea kettle conga line spit in the face convenience store robbery,en,A criminal on the run cons his way into the wrong dinner party where the host is anything but ordinary.,Splendid Film,93,The Perfect Host,"David Hyde, Pierce Clayne, Crawford Nathaniel, Parker Helen, Reddy",Nick Tomnay
"Romance, Crime, Drama",racing car growing up scam male prostitute,en,"A naive drifter runs away from his army father in hopes of making it on the car racing circuit. In Las Vegas, he meets a young scam artist, who develops a crush on him. He is then introduced to a whole gang led by a young hustler. The racer-to-be then gets a lesson in the wild side, getting involved in one situation after another. Patsy Kensit makes a cameo as another hustler and Daryl Hannah appears as the scam artist's surrogate mom.","Golan-Globus Productions, Powers That Be Pictures, Magic Entertainment, Inc., Miracle Entertainment",104,Speedway Junky,"Jesse Bradford, Jordan Brower, Jonathan Taylor, Thomas Daryl, Hannah Tiffani, Thiessen",Nickolas Perry
"Science Fiction, Drama",virtual reality black and white,en,"Smooth advertising executive David is in a relationship with yoga teacher Juliette. Then his eye is caught by Sophie, the girlfriend of his best friend Wim, a fashion photographer. Things get completely out of hand during a campaign for augmented reality-glasses, for which David designs an avatar of the coveted Sophie.","Ghost Robot, Greencard Pictures, Mathematic",97,Creative Control,"Benjamin Dickinson, Nora Zehetner, Dan Gill, Alexia Rasmussen, Gavin McInnes",Benjamin Dickinson
"Science Fiction, Fantasy, Drama",hallucination superhero independent film,en,A lonely metermaid has a psychotic reaction to his medication and becomes convinced he's a superhero. A very select group of people in life are truly gifted. Special is a movie about everyone else.,Rival Pictures,81,Special,"Michael Rapaport, Josh Peck, Robert Baker, Jack Kehler, Alexandra Holden",Hal Haberman
"Romance, Drama",bisexuality australia twin brother friends melbourne,en,"Annabelle is the wise-beyond-her-years newcomer to an exclusive Catholic girls school. Having been expelled from her first two schools she's bound to stir some trouble. Sparks fly though when sexual chemistry appears between her and the Head of her dorm and English teacher, Simone Bradley. Annabelle pursues her relentlessly and until the end the older woman manages to avoid the law.","Big Easy Pictures, Divine Light Pictures",76,Loving Annabelle,"Erin Kelly, Diane Gaidry, Laura Breckenridge, Michelle Horn, Gustine Fudickar",Katherine Brooks
"Thriller, Action, Crime, Drama",police revenge independent film video camera on the run,en,Two misunderstood suburban kids challenge society and run from the police while documenting all of their deeds with a digital camera.,,99,Jimmy and Judy,"Edward Furlong, Rachael Bella, William Sadler",Randall Rubin
Drama,woman director,en,The true story of the only African-American crew to take a Navy warship into combat in World War II.,,87,Proud,"Vernel Bagneris, Marcus Chait, Michael Ciesla",Mary Pat Kelly
Horror,racist religion,en,"An idyllic island town is under attack by that most invasive of pests: zombies! Port Gamble is being overrun with braineaters, and the people seem powerless to stave them off. But wait, a rag tag band of rebels is trying to turn the tide and push the invading hordes of undead back.",Splendid Film,92,ZMD: Zombies of Mass Destruction,"Janette Armand, Doug Fahl, Cooper Hopkins, Bill Johns, Russell Hodgkinson",Kevin Hamedani
Horror,phobia doctor fear,en,A doctor works to cure patients suffering from crippling phobias by placing them inside his invention which induces and controls hallucinations.,"Dry County Films, Anchor Bay Entertainment, Movie Machine",95,Fear Clinic,"Thomas Dekker, Robert Englund, Cleopatra Coleman, Fiona Dourif, Kevin Gage",Robert Hall
"Science Fiction, Thriller, Action, Comedy",mutant post-apocalyptic zombie,en,"Zombie Hunter is set in a post-apocalyptic Zombie wasteland caused by the mysterious street drug ""Natas"". We follow one man who has nothing left other than a beat up Camaro and a trunk full of guns and booze. He runs down Flesh Eaters, hunting for sport and redemption, while also running from his past. After crashing into a small group of survivors, who are running low on resources, he decides to lend a hand. But a surprise attack by the Flesh Eaters forces them on the run and puts the Hunter's skills to the test.","Arrowstorm Entertainment, The Klimax",93,Zombie Hunter,"Martin Copping, Danny Trejo, Clare Niederpruem, Terry Guthrie, Jason Regier",Kevin King
"Thriller, Horror",lsd government conspiracy tension video camera,en,"On the trail of a missing friend who had been experimenting with mind-altering drugs, a young journalist - aided by a rogue counter-culture writer, The Silence of The Lambs -- finds herself drawn into the dangerous world of top-secret government chemical research and the mystery of a disturbing radio signal of unknown origin. A fast-paced thriller blending fact and fiction, Banshee Chapter is based on real documents, actual test subject testimony, and uncovered secrets about covert programs run by the CIA.","Before the Door Pictures, Sunchaser Entertainment, Favorit Film",87,Banshee Chapter,"Ted Levine, Katia Winter, Michael McMillian, Monique Candelaria, Jenny Gabrielle",Blair Erickson
"Thriller, Mystery, Drama",college blog dark secrets,en,"Beautiful, wild, funny, and lost, Katie Kampenfelt takes a year off before college to find herself, all the while chronicling her adventures in an anonymous blog into which she pours her innermost secrets. Eventually, Katie's fearless narrative begins to crack, and dark pieces of her past emerge.","Decipher Entertainment, Presque Isle Films, LA Publicity, Tait Productions",100,Ask Me Anything,"Britt Robertson, Christian Slater, Justin Long, Martin Sheen, Andy Buckley",Allison Burnett
Comedy,baby roommate friendship single los angeles,en,"A comedy centered on two best friends, Kim and Deena, who fight to maintain normalcy in their lives after Kim gets pregnant and has a baby.","Stardust Pictures, Dot Dot Dot Productions",100,L!fe Happens,"Krysten Ritter, Kate Bosworth, Rachel Bilson, Geoff Stults, Justin Kirk",Kat Coiro
"Thriller, Drama",suicide rape age difference photographer ice,en,"A mature 14-year old girl meets a charming 32-year old photographer on the Internet. Suspecting that he is a pedophile, she goes to his home in an attempt to expose him.",Vulcan Productions Inc.,103,Hard Candy,"Patrick Wilson, Ellen Page, Sandra Oh, Odessa Rae, G.J. Echternkamp",David Slade
Drama,sexual identity lesbian relationship homosexuality woman director,fa,A wealthy Iranian family struggles to contain a teenager's growing sexual rebellion and her brother's dangerous obsession,"A Space Between, Marakesh Films, Bago Pictures",107,Circumstance,"Nikohl Boosheri, Sarah Kazemy, Reza Sixo, Safai Soheil, Parsa Nasrin, Pakkho",Maryam Keshavarz
Drama,police brutality based on true story racism docudrama day in a life,en,"The true story of Oscar, a 22-year-old Bay Area resident, who crosses paths with friends, enemies, family, and strangers on the last day of 2008.","Forest Whitaker's Significant Productions, OG Project",85,Fruitvale Station,"Michael B., Jordan Octavia, Spencer Melonie, Diaz Ahna, O'Reilly Kevin, Durand",Ryan Coogler
"Animation, Family, Drama",forest coming of age best friend loss of loved one,en,"Bambi's tale unfolds from season to season as the young prince of the forest learns about life, love, and friends.",Walt Disney Productions,70,Bambi,"Donnie Dunagan, Peter Behn, Stan Alexander, Cammie King, Will Wright",David Hand
Drama,drug addiction father daughter relationship semi autobiographical,en,"1982, a film inspired by true events at the onset of the crack epidemic in Philadelphia, tells the story of a father and his efforts to protect his gifted daughter from the insidious epidemic which has literally come home via her drug-addicted mother. As his wife becomes more distant and unreliable, he struggles to raise his daughter on his own, while still striving to help his wife become clean. In the process, he learns some hard truths about his marriage and his life, which will ultimately test him as a parent, a husband, and a man",,90,1982,"Bokeem Woodbine, Sharon Leal, Wayne Brady, Quinton Aaron, Hill Harper",Tommy Oliver
"Romance, Comedy, Drama",relationship problems male female relationship divorce best friends in love,en,"Celeste and Jesse met in high school and got married young. They laugh at the same jokes and finish each other’s sentences. They are forever linked in their friends’ minds as the perfect couple – she, a high-powered businesswoman and budding novelist; he, a free spirit who keeps things from getting boring. Their only problem is that they have decided to get divorced. Can their perfect relationship withstand this minor setback?",Team Todd,91,Celeste & Jesse Forever,"Rashida Jones, Andy Samberg, Elijah Wood, Emma Roberts, Ari Graynor",Lee Toland Krieger
"Romance, Drama",independent film,en,"The film follows Victor, a Lower East Side teenager, as he deals with his eccentric family, including his strict grandmother, his bratty sister, and a younger brother who completely idolizes him. Along the way he tries to win the affections of Judy, who is very careful and calculating when it comes to how she deals with men.",,88,Raising Victor Vargas,"Victor Rasuk, Judy Marte, Melonie Diaz, Altagracia Guzman, Silvestre Rasuk",Peter Sollett
Comedy,sex thanksgiving friendship high school love,en,"NOT COOL follows former prom king and college freshman Scott (Shane Dawson) who has just returned home for Thanksgiving break only to be dumped by his eccentric, long-term girlfriend. With his world turned upside down, Scott strikes an unlikely friendship with former classmate Tori (Cherami Leigh), an ugly duckling who blossomed in her first semester of college. Together, the two embark on an outrageous adventure through their hometown. But when Scott and Tori find their friendship turning into something deeper, they realize that a few months away may have changed them more than they realized.","Steeltown Entertainment, Point Park University, Shaderville",90,Not Cool,"Shane Dawson, Cherami Leigh, Drew Monson, Michelle Veintimilla, Lisa Schwartz",Shane Dawson
"Comedy, Horror",norway undead zombie wintry,no,Eight medical students on a ski trip to Norway discover that Hitler's horrors live on when they come face to face with a battalion of zombie Nazi soldiers intent on devouring anyone unfortunate enough to wander into the remote mountains where they were once sent to die.,"Euforia Film, FilmCamp, Miho Film, Barentsfilm, Yellow Bastard Production, News On Request (NOR), Zwart Arbeid",91,Dead Snow,"Charlotte Frogner, Stig Frode, Henriksen Vegar, Hoel Jeppe, Beck Laursen, Evy Kasseth, Røsten",Tommy Wirkola
"Documentary, Comedy",stand-up comedy,en,Experience the show that quickly became a national phenomenon. Get an up-close and personal look at Kevin Hart back in Philly where he began his journey to become one of the funniest comedians of all time. You will laugh 'til it hurts!,"Comedy Central Films, Codeblack Entertainment, Hartbeat Productions",89,Kevin Hart: Laugh at My Pain,"Kevin Hart, Na'im Lynn",Tim Story
"Thriller, Horror, Crime",hotel wife husband relationship hitman infection forest,en,"Nearly a year after a botched job, a hitman takes a new assignment with the promise of a big payoff for three killings. What starts off as an easy task soon unravels, sending the killer into the heart of darkness.","Rook Films, Warp X",95,Kill List,"Neil Maskell, MyAnna Buring, Harry Simpson, Michael Smiley, Struan Rodger",Ben Wheatley
"Thriller, Horror",anti terror terror beer supernatural towel,en,"During the final days at the Yankee Pedlar Inn, two employees determined to reveal the hotel's haunted past begin to experience disturbing events as old guests check in for a stay.","Glass Eye Pix, Dark Sky Films",102,The Innkeepers,"Sara Paxton, Pat Healy, Kelly McGillis, George Riddle, Lena Dunham",Ti West
"Thriller, Mystery, Horror",suicide attempt gun texas mass murder farm worker,en,"Beautiful Mandy Lane isn't a party girl but, when classmate Chloe invites the Texas high school student to a bash in the countryside, she reluctantly accepts. After hitching a ride with a vaguely scary older man, the teens arrive at their destination. Partying ensues, and Mandy's close pal, Emmet, keeps a watchful eye on the young males making a play for Mandy. Then two of the students are murdered.",Occupant Films,90,All the Boys Love Mandy Lane,"Amber Heard, Anson Mount, Michael Welch, Whitney Able, Edwin Hodge",Jonathan Levine
Drama,independent film,en,"In this biting and disturbing coming-of-age tale from writer-director Michael Cuesta, life is bittersweet along the L.I.E., also known as the Long Island Expressway, as suburban teen Howie Blitzer learns all too clearly. In the space of a week, he loses nearly everything and everyone he knows and is left to navigate his adolescence virtually unsupervised.",,97,L.I.E.,"Paul Dano, Bruce Altman, Brian Cox, Billy Kay, James Costa",Michael Cuesta
"Thriller, Mystery, Drama",witch woman director,en,"When a teenage girl says she's the victim of a secret network called The Sisterhood of Night, a quiet suburban town becomes the backdrop for a modern-day Salem witch trial.",,104,The Sisterhood of Night,"Kara Hayward, Georgie Henley, Olivia DeJonge, Laura Fraser, Kal Penn",Caryn Waechter
"Crime, Drama, Music",dancing hip-hop b-girl street dance b-boying,en,"A young female breakdancer, Angel, moves to Los Angeles after an attack by an ex-boyfriend nearly ends her dance career forever. B-Girl follows Angel through recovery and acceptance of a new life as she busts a move into the male-centric world of underground hip hop.",Two Camels Films,84,B-Girl,"Julie 'Jules', Urich Missy, Yager Wesley, Jonathan Drew, Sidora Aimee, Garcia",Emily Dell
Drama,date ex-girlfriend bicycle crack independent film,en,"Despite his dedication to the junior-high students who fill his classroom, idealistic teacher Dan Dunne leads a secret life of addiction that the majority of his students will never know. But things change when a troubled student Drey makes a startling discovery of his secret life, causing a tenuous bond between the two that could either end disastrously or provide a catalyst of hope.","Thinkfilm, Hunting Lane Films, Journeyman Pictures, Original Media, Silverwood Films, Traction Media",107,Half Nelson,"Ryan Gosling, Jeff Lima, Shareeka Epps, Nathan Corbett, Tyra Kwao-Vovo",Ryan Fleck
Drama,native american racism family woman director,en,"Naturally Native follows the lives, loves, pain, joy and relationships of three sisters as they attempt to start their own business. Of American Indian ancestry, but adopted by white foster parents as young children, each sister has her own identity issues and each has chosen a very different career path. Now dedicated to starting a Native cosmetic business, they attempt to overcome obstacles both in the business world and in the home. A touching love story of family and culture, Naturally Native also interweaves a subtle, but strong wake-up call regarding the treatment of Native people in corporate America. Naturally Native also provides some insight into tribal infrastructure and gaming issues.",Red-horse Native,107,Naturally Native,"Valerie Red-Horse, Yvonne Russo, Irene Bedard, Kimberly Guerrero, Pato Hoffmann",Valerie Red-Horse
"Mystery, Horror",witch voodoo legend sorcery maryland,en,"In October of 1994 three student filmmakers disappeared in the woods near Burkittsville, Maryland, while shooting a documentary. A year later their footage was found.","Artisan Entertainment, Haxan Films",81,The Blair Witch Project,"Michael C., Williams Heather, Donahue Joshua, Leonard Bob, Griffith Jim, King",Daniel Myrick
"Documentary, Music",woman director,fr,"In 2012, jihadists took control of northern Mali. They imposed one of the strictest interpretations of sharia law in history. On August 12th they banned music - radio stations destroyed, instruments burned and musicians facing torture, even death. Overnight, Mali’s most revered members of society – the musicians – were forced into hiding or exile. This film follows Mali’s musicians as they fight to keep music alive in their country. We witness fierce battles between the army and the jihadists, capture life over borders at refugee camps where money and hope are scarce, follow perilous journeys home to war ravaged cities, and for one band, Songhoy Blues, their path to international stardom.","Spring Films, Together Films, Mojo Musique",105,They Will Have to Kill Us First,"Aliou Touré, Oumar Touré, Garba Touré, Nathanael Dembélé, Khaira Arby",Johanna Schwartz
"Comedy, Music",adolescence culture clash press conference behind the scenes police chase,en,"Capturing John Lennon, Paul McCartney, George Harrison and Ringo Starr in their electrifying element, 'A Hard Day's Night' is a wildly irreverent journey through this pastiche of a day in the life of The Beatles during 1964. The band have to use all their guile and wit to avoid the pursuing fans and press to reach their scheduled television performance, in spite of Paul's troublemaking grandfather and Ringo's arrest.","Proscenium Films, Walter Shenson Films, Maljack Productions",88,A Hard Day's Night,"John Lennon, Paul McCartney, George Harrison, Ringo Starr, Wilfrid Brambell",Richard Lester
Drama,father son relationship fire firemen christian advice,en,"In Albany, the marriage of Caleb end Catherine Holt is in crisis and they decide to divorce. However, Caleb's father, John, proposes that his son delays their separation process for forty days and follow a procedure called ""The Love Dare"" to make them love each other again.","Carmel Entertainment, Provident Films, Samuel Goldwyn Films, Affirm Films, Sherwood Pictures",122,Fireproof,"Kirk Cameron, Erin Bethea, Ken Bevel, Stephen Dervan, Eric Young",Alex Kendrick
"Adventure, Romance, Family",hostage affection rescue dog animal actor,en,A stray dog saves two kidnapped children.,,86,Benji,"Patsy Garrett, Allen Fiuzat, Cynthia Smith, Peter Breck, Frances Bavier",Joe Camp
Drama,christian independent film,en,"Jake Taylor has everything. He has a beautiful girl, he's the champion in basketball and beer pong, and everyone loves him. Then, an old childhood friend, whom Jake used to be friends with, commits suicide. Jake begins to think. He wonders what he could've done to save his friend's life. A youth minister tells him that Jake needs God. So Jake becomes a Christian. However, things begin to spin out of control. His dad is cheating on his mom, his girlfriend is pregnant, and his former friends ridicule and mock him. During all this, Jake is going to realize just what it means to be a Christian and how, to save a life.",,120,To Save A Life,"Randy Wayne, Deja Kreutzberg, Joshua Weigel, Steven Crowder, Kim Hidalgo",Brian Baugh
"Crime, Drama",suicide alcohol secret birthday lake,en,"Teenagers living in small-town Oregon take a boat trip for a birthday celebration. When they get an idea to play a mean trick on the town bully, it suddenly goes too far. Soon they're forced to deal with the unexpected consequences of their actions.",Whitewater Films,90,Mean Creek,"Rory Culkin, Scott Mechlowicz, Trevor Morgan, Josh Peck, Ryan Kelley",Jacob Aaron Estes
"Romance, Drama",male female relationship co-worker relationship mumblecore,en,"Weekend trips, office parties, late night conversations, drinking on the job, marriage pressure, biological clocks, holding eye contact a second too long… you know what makes the line between “friends” and “more than friends” really blurry? Beer.",Burn Later Productions,90,Drinking Buddies,"Olivia Wilde, Jake Johnson, Anna Kendrick, Ron Livingston, Ti West",Joe Swanberg
Documentary,magic woman director,en,The life and career of renowned magician and sleight of hand artist Ricky Jay.,Kino Lorber,88,Deceptive Practice: The Mysteries and Mentors of Ricky Jay,"Ricky Jay, Dick Cavett, Winston Simon, David Mamet, Persi Diaconis",Molly Bernstein
Documentary,olympic games sport basketball basketball team,en,"The incredible story of the 1992 Lithuanian basketball team, whose athletes struggled under Soviet rule, became symbols of Lithuania's independence movement, and – with help from the Grateful Dead – triumphed at the Barcelona Olympics.",,89,The Other Dream Team,"Greg Speirs, Jim Lampley, Bill Walton, Dan Majerle, Mickey Hart",Marius Markevicius
"Fantasy, Mystery, Comedy, Horror, Drama",exploding building duringcreditsstinger,en,"In the California desert, the adventures of a telepathic killer-tire, mysteriously attracted by a very pretty girl, as witnessed by incredulous onlookers.","Canal+, Backup Films, Arte France, Arte France Cinéma, Elle Driver, 1.85 Films, Realitism Films, Sindika Dokolo",85,Rubber,"Thomas F., Duffy David, Bowe Stephen, Spinella Roxane, Mesquida Jack, Plotnick",Quentin Dupieux
"Science Fiction, Thriller, Drama",monster pyramid radio dystopia infection,en,"Six years ago NASA discovered the possibility of alien life within our solar system. A probe was launched to collect samples, but crashed upon re-entry over Central America. Soon after, new life forms began to appear and half of Mexico was quarantined as an infected zone. Today, the American and Mexican military still struggle to contain ""the creatures,"" while a journalist agrees to escort a shaken tourist through the infected zone in Mexico to the safety of the U.S. border.",Vertigo Entertainment,94,Monsters,"Whitney Able, Scoot McNairy, Annalee Jefferies, Kevon Kane, Fernando Lara",Gareth Edwards
"Comedy, Horror",high school independent film zombie extreme violence,en,A group of oddball high school students find themselves trapped in detention with their classmates having turned into a horde of Zombies.,Gala Film,87,Detention of the Dead,"Jacob Zachar, Alexa Nikolas, Christa Brittany, Allen Jayson, Blair Justin, Chon",Alex Craig Mann
"Horror, Music",carnival musical sequel devil dark carnival,en,The Devil's Carnival: Alleluia! is the second episode of The Devil's Carnival. The episode will revolve around the war between Hell and Heaven.,"Limb from Limb Pictures, Execution Style Entertainment",0,Alleluia! The Devil's Carnival,"Terrance Zdunich, Paul Sorvino, Marc Senter, Emilie Autumn, Nivek Ogre",Darren Lynn Bousman
"Romance, Comedy, Drama, Music",individual underdog mentally disabled loss of mother sweden,sv,A musical romantic tragedy about a famous composer who moves back to his small hometown after having had heart troubles. His search for a simple everyday life leads him into teaching the local church choir which is not easily accepted by the town yet the choir builds a great love for their teacher.,"GF Studios AB, Lefwander Kapitalförvaltning AB, Sonet Film AB",132,As It Is in Heaven,"Michael Nyqvist, Frida Hallgren, Helen Sjöholm, Lennart Jähkel, Ingela Olsson",Kay Pollak
